scenario no.,scenario diversity
3718,316818.5135
3719,316454.5668
3720,316463.015
3721,316724.0859
3722,316647.9956
3723,316613.148
3724,316480.4462
3725,316522.6437
3726,316400.5626
3727,316379.0658
3728,316516.1933
3729,316445.5329
3730,316486.0126
3731,316177.1134
3732,316173.6639
3733,316176.71
3734,316157.4022
3735,316154.822
3736,316138.6411
3737,316133.695
3738,316816.5737
3739,316798.4866
3740,316844.398
3741,316785.5125
3742,316769.835
3743,316786.1769
3744,316830.5454
3745,316694.9892
3746,316099.7187
3747,316067.8583
3748,316163.2908
3749,316140.9599
3750,316093.226
3751,315996.2185
3752,315974.7939
3753,315967.6453
3754,315985.27
3755,316208.8094
3756,316260.4497
3757,316351.2593
3758,316430.6904
3759,316298.2411
3760,316390.0299
3761,316546.8527
3762,316547.5807
3763,315893.7202
3764,315878.2263
3765,315871.2913
3766,315862.2539
3767,315886.8514
3768,315919.1048
3769,315877.2416
3770,315823.5841
3771,316251.2404
3772,316203.9173
3773,316325.5862
3774,316376.5189
3775,316135.7068
3776,316112.3284
3777,316116.9693
3778,315902.2358
3779,316303.5741
3780,316329.4203
3781,316333.4432
3782,316128.7902
3783,316023.3439
3784,316141.9292
3785,316190.7157
3786,316413.8264
3787,316059.3864
3788,316052.5095
3789,315983.3222
3790,316136.6332
3791,315957.8043
3792,316135.9533
3793,316009.202
3794,315988.4118
3795,316159.0916
3796,316324.4074
3797,315973.5242
3798,315968.9112
3799,316412.5096
3800,315574.8678
3801,315557.3782
3802,315538.6653
3803,315536.5621
3804,315539.7755
3805,315527.357
3806,315526.021
3807,315546.2671
3808,315512.2467
3809,315506.9836
3810,315505.3807
3811,315500.1412
3812,315494.2307
3813,315488.8139
3814,315489.6225
3815,315484.0977
3816,315478.7552
3817,315473.4673
3818,315468.8628
3819,315464.4033
3820,315459.8564
3821,315454.9759
3822,315451.7775
3823,315448.4783
3824,315453.482
3825,315448.751
3826,315473.7453
3827,315497.2687
3828,315509.1699
3829,315488.1324
3830,315370.5198
3831,315590.4555
3832,315321.7869
3833,315334.9137
3834,315335.4234
3835,315316.4912
3836,315322.0492
3837,315305.1788
3838,315299.5301
3839,315295.446
3840,315921.1376
3841,315289.6621
3842,315284.5831
3843,315306.057
3844,315294.7458
3845,315286.9625
3846,315254.4521
3847,315273.5769
3848,315265.8288
3849,315258.2104
3850,315255.1835
3851,315477.2807
3852,315390.5361
3853,315344.8818
3854,315304.5221
3855,315330.1852
3856,315519.3455
3857,315424.736
3858,315448.5445
3859,315432.2443
3860,315295.0449
3861,315228.3125
3862,315239.6527
3863,315201.4211
3864,315247.7925
3865,315244.2726
3866,315209.5307
3867,315210.9185
3868,315239.4511
3869,315195.9297
3870,315194.6052
3871,315191.5709
3872,315188.9386
3873,315185.4321
3874,315182.948
3875,315180.5718
3876,315184.7134
3877,315180.5852
3878,315177.8827
3879,315178.9782
3880,315173.5521
3881,315173.6657
3882,315168.3378
3883,315177.6251
3884,315178.9082
3885,315177.1645
3886,315217.0536
3887,315157.4358
3888,315232.7827
3889,315172.0928
3890,315231.374
3891,315142.8023
3892,315206.0214
3893,315286.4972
3894,315638.9523
3895,315520.1001
3896,315581.2542
3897,315630.6763
3898,315670.4568
3899,315082.1796
3900,315103.5852
3901,315058.8218
3902,315070.4481
3903,315021.9491
3904,315024.5055
3905,315018.7226
3906,315022.0797
3907,315032.8326
3908,315034.6235
3909,315017.3754
3910,315016.0106
3911,315014.5296
3912,315012.1177
3913,315011.2067
3914,315011.0104
3915,315009.8827
3916,315040.9044
3917,315471.712
3918,315458.8574
3919,315500.638
3920,315598.8166
3921,315626.2562
3922,315621.5549
3923,315618.4791
3924,315615.5692
3925,315615.017
3926,315612.2008
3927,315609.2823
3928,315606.5087
3929,315604.2979
3930,315599.5143
3931,314905.9078
3932,314871.1045
3933,314868.8556
3934,314867.8033
3935,314866.3677
3936,314918.1488
3937,314917.6951
3938,314920.5568
3939,314929.6701
3940,314903.574
3941,315339.9191
3942,315365.6098
3943,315315.294
3944,315320.2084
3945,315337.8366
3946,315264.1406
3947,315223.1491
3948,315152.9169
3949,315186.071
3950,315171.9966
3951,315229.2778
3952,315160.9849
3953,315138.6627
3954,315187.8325
3955,315211.3945
3956,315123.8193
3957,315065.5706
3958,315104.131
3959,315178.1091
3960,315151.6831
3961,315113.4857
3962,315086.0932
3963,315158.5155
3964,315001.8574
3965,314972.6793
3966,314974.0486
3967,315032.0505
3968,315116.03
3969,315060.4443
3970,315164.17
3971,315242.919
3972,314957.8236
3973,315003.4936
3974,315131.6097
3975,315152.7383
3976,315199.8948
3977,315238.4284
3978,314946.0193
3979,314984.153
3980,315027.6599
3981,315059.5686
3982,315040.9507
3983,315564.2049
3984,315336.4231
3985,314851.2089
3986,314907.7534
3987,314943.4274
3988,314951.1959
3989,314950.7032
3990,315006.9495
3991,314949.3925
3992,314892.7528
3993,314988.4084
3994,314813.9471
3995,314848.9002
3996,314913.243
3997,315375.8831
3998,314999.3542
3999,315120.5386
