scenario no.,scenario features demand,weather features demand,obstacle attribute features demand,obstacle operation features demand,total scenario demand
4633,2,3,3,0,8
4634,2,3,3,0,8
4635,2,3,3,0,8
4636,1,3,3,0,7
4637,1,3,3,0,7
4638,1,3,3,0,7
4639,2,3,3,0,8
4640,2,3,3,0,8
4641,2,3,3,0,8
4642,2,3,3,0,8
4643,2,3,3,0,8
4644,1,3,3,0,7
4645,1,3,4,0,8
4646,1,3,3,10,17
4647,1,3,3,0,7
4648,0,3,3,0,6
4649,0,3,3,0,6
4650,0,3,3,0,6
4651,0,3,3,0,6
4652,0,3,3,0,6
4653,1,3,3,0,7
4654,1,3,3,0,7
4655,1,3,3,0,7
4656,1,3,3,0,7
4657,1,3,3,0,7
4658,1,3,3,0,7
4659,1,3,3,0,7
4660,1,3,3,0,7
4661,1,3,3,0,7
4662,1,3,3,0,7
4663,1,3,3,0,7
4664,1,3,3,0,7
4665,1,3,4,0,8
4666,1,3,4,0,8
4667,1,3,4,0,8
4668,1,3,4,0,8
4669,2,3,4,0,9
4670,2,3,3,0,8
4671,1,3,3,0,7
4672,1,3,2,0,6
4673,1,3,2,2,8
4674,1,3,2,0,6
4675,1,3,2,0,6
4676,1,3,1,3,8
4677,1,3,1,0,5
4678,3,3,1,5,12
4679,2,3,1,5,11
4680,2,3,1,0,6
4681,2,3,1,0,6
4682,2,3,1,0,6
4683,2,3,0,7,12
4684,2,3,1,0,6
4685,1,3,1,0,5
4686,1,3,1,0,5
4687,1,1,3,0,5
4688,1,1,3,0,5
4689,2,1,3,10,16
4690,2,1,3,10,16
4691,1,1,3,0,5
4692,1,1,3,10,15
4693,1,1,3,0,5
4694,1,1,3,0,5
4695,2,3,3,0,8
4696,2,3,3,0,8
4697,1,3,3,2,9
4698,1,3,3,0,7
4699,1,3,3,0,7
4700,1,3,3,0,7
4701,1,3,3,0,7
4702,1,3,3,0,7
4703,1,3,3,0,7
4704,3,4,0,10,17
4705,1,4,3,0,8
4706,1,4,3,0,8
4707,1,4,3,0,8
4708,1,5,3,0,9
4709,1,5,3,0,9
4710,1,5,3,0,9
4711,2,5,3,0,10
4712,2,5,3,0,10
4713,2,5,3,0,10
4714,2,5,3,0,10
4715,1,5,3,0,9
4716,2,3,3,0,8
4717,3,3,1,0,7
4718,3,3,3,0,9
4719,2,3,3,0,8
4720,2,3,3,0,8
4721,2,3,4,0,9
4722,2,3,4,0,9
4723,1,3,1,5,10
4724,1,3,3,10,17
4725,2,3,0,0,5
4726,1,3,4,0,8
4727,1,3,1,0,5
4728,1,3,3,10,17
4729,1,3,3,0,7
4730,0,3,3,0,6
4731,2,3,3,0,8
4732,2,3,3,0,8
4733,1,3,4,0,8
4734,1,3,3,0,7
4735,1,3,2,10,16
4736,1,3,1,5,10
4737,2,3,1,0,6
4738,0,1,3,0,4
4739,1,1,3,0,5
4740,1,1,3,0,5
4741,1,1,3,0,5
4742,1,1,3,0,5
4743,1,1,3,0,5
4744,1,1,3,0,5
4745,2,1,3,0,6
4746,1,1,3,0,5
4747,1,1,3,10,15
4748,1,1,3,0,5
4749,0,1,3,10,14
4750,1,1,3,10,15
4751,1,1,0,10,12
4752,1,3,3,0,7
4753,1,3,3,0,7
4754,1,3,3,10,17
4755,2,3,3,10,18
4756,2,3,3,0,8
4757,2,3,3,0,8
4758,1,3,3,0,7
4759,0,3,3,0,6
4760,0,3,3,10,16
4761,0,3,3,10,16
4762,1,3,3,10,17
4763,1,3,3,10,17
4764,0,3,3,10,16
4765,0,3,3,10,16
4766,0,3,3,10,16
4767,1,3,3,10,17
4768,1,3,3,10,17
4769,1,3,3,10,17
4770,1,3,3,0,7
4771,1,3,3,0,7
4772,2,3,3,0,8
4773,2,3,3,0,8
4774,2,3,3,0,8
4775,2,3,3,0,8
4776,2,3,3,0,8
4777,2,3,3,0,8
4778,3,3,3,10,19
4779,3,3,0,10,16
4780,3,3,0,0,6
4781,2,3,0,0,5
4782,2,3,3,0,8
4783,1,3,3,0,7
4784,2,3,3,0,8
4785,2,3,3,0,8
4786,2,3,3,0,8
4787,1,3,3,0,7
4788,1,3,3,0,7
4789,1,3,3,0,7
4790,1,3,4,0,8
4791,1,3,4,0,8
4792,1,3,1,10,15
4793,1,3,1,10,15
4794,1,3,1,10,15
4795,1,3,1,10,15
4796,1,3,3,0,7
4797,1,3,3,0,7
4798,2,3,3,0,8
4799,2,3,3,0,8
